Entity;Prefix;Cont;ITU;CQ;Entity Code
Afghanistan;YA,T6;AS;40;21;3
Agalega & St. Brandon Is.;3B6,3B7;AF;53;39;4
Aland Is.;OH0;EU;18;15;5
Alaska;KL,AL,NL,WL;NA;1,2 ;1;6
Albania;ZA;EU;28;15;7
Algeria;7T-7Y;AF;37;33;400
American Samoa;KH8;OC;62;32;9
Amsterdam & St. Paul Is.;FT/Z;AF;68;39;10
Andaman & Nicobar Is. ;VU4 ;AS;49;26;11
Andorra ;C3;EU;27;14;203
Angola;D2,D3;AF;52;36;401
Anguilla ;VP2E;NA;11;8;12
Annobon I.;3C0;AF;52;36;195
Antarctica;CE9,KC4;AN;(B);(C);13
Antigua & Barbuda;V2;NA;11;8;94
Argentina;LO-LW;SA;14,16 ;13;100
Armenia;EK;AS;29;21;14
Aruba;P4;SA;11;9;91
Ascension I.;ZD8;AF;66;36;205
Asiatic Russia;UA-UI8,UA-UI9,UA-UI0,RA-RZ;AS;(F); (G);15
Austral I. ;FO,TX;OC;63;32;508
Australia;VK,AX;OC;(I);29.3;150
Austria;OE;EU;28;15;206
Aves I.;YV0;NA;11;8;17
Azerbaijan;4J,4K;AS;29;21;18
Azores;CU;EU;36;14;149
Bahamas ;C6;NA;11;8;60
Bahrain;A9;AS;39;21;304
Baker & Howland Is. ;KH1;OC;61;31;20
Balearic Is.;EA6-EH6;EU;37;14;21
Banaba I. (Ocean I.);T33;OC;65;31;490
Bangladesh;S2;AS;41;22;305
Barbados;8P;NA;11;8;62
Belarus;EU,EW;EU;29;16;27
Belgium;ON-OT;EU;27;14;209
Belize;V3;NA;11;7;66
Benin;TY;AF;46;35;416
Bermuda;VP9;NA;11;5;64
Bhutan;A5;AS;41;22;306
Bolivia;CP;SA;12.14;10;104
Bonaire ;PJ4;SA;11;9;520
Bosnia-Herzegovina;E729;EU;28;15;501
Botswana;A2;AF;57;38;402
Bouvet;3Y;AF;67;38;24
Brazil;PP-PY,ZV-ZZ;SA;(D);11;108
British Virgin Is.;VP2V;NA;11;8;65
Brunei Darussalam;V8;OC;54;28;345
Bulgaria;LZ;EU;28;20;212
Burkina Faso ;XT;AF;46;35;480
Burundi;9U;AF;52;36;404
C. Kiribati (British Phoenix Is);T31;OC;62;31;31
Cambodia;XU ;AS;49;26;312
Cameroon;TJ;AF;47;36;406
Canada;VA-VG,VO,VY;NA;(H);1-5;1
Canary Is.;EA8-EH8;AF;36;33;29
Cape Verde;D4;AF;46;35;409
Catalonia;EA3-EH3;EU;37;14;0
Cayman Is.;ZF;NA;11;8;69
Central Africa ;TL;AF;47;36;408
Ceuta & Melilla;EA9-EH9;AF;37;33;32
Chad;TT;AF;47;36;410
Chagos Is.;VQ9 ;AF;41;39;33
Chatham Is.;ZL7;OC;60;32;34
Chesterfield Is.;FK,TX;OC;56;30;512
Chile ;CA-CE;SA;14,16 ;12;112
China ;B;AS;(A);23.24;318
Christmas I. ;VK9X;OC;54;29;35
Clipperton I.;FO,TX;NA;10;7;36
Cocos (Keeling) Is. ;VK9C ;OC;54;29;38
Cocos I.;TI9;NA;12;7;37
Colombia;HJ,HK,5J,5K;SA;12;9;116
Comoros;D6;AF;53;39;411
Congo (Republic of the) ;TN;AF;52;36;412
Conway Reef;3D2;OC;56;32;489
Corsica;TK;EU;28;15;214
Costa Rica;TI,TE;NA;11;7;308
Cote d'Ivoire;TU;AF;46;35;428
Crete;SV9,J49;EU;28;20;40
Croatia;9A;EU;28;15;497
Crozet I.;FT/W;AF;68;39;41
Cuba;CM,CO;NA;11;8;70
Curacao ;PJ2;SA;11;9;517
Cyprus;5B,C4,P3;AS;39;20;215
Czech Republic;OK-OL;EU;28;15;503
Dem. Rep. of Congo;9Q-9T;AF;52;36;414
Denmark ;OU-OW,OZ;EU;18;14;221
Desecheo I.;KP5;NA;11;8;43
Djibouti;J2;AF;48;37;382
Dodecanese;SV5,J45;EU;28;20;45
Dominica;J7;NA;11;8;95
Dominican Republic;HI;NA;11;8;72
DPR of Korea ;P5;AS;44;25;344
Ducie I.;VP6;OC;63;32;513
E. Kiribati (Line Is.);T32;OC;61.63;31;48
East Malaysia;9M6,9M8;OC;54;28;46
Easter I. ;CE0;SA;63;12;47
Ecuador;HC-HD;SA;12;10;120
Egypt;SU;AF;38;34;478
El Salvador;YS,HU;NA;11;7;74
England;G,GX,M;EU;27;14;223
Equatorial Guinea;3C;AF;47;36;49
Eritrea;E3;AF;48;37;51
Estonia;ES;EU;29;15;52
Ethiopia;ET;AF;48;37;53
European Russia;UA,UI1-7,RA-RZ;EU;(E) ;16;54
Falkland Is. ;VP8 ;SA;16;13;141
Faroe Is.;OY;EU;18;14;222
Fed. Rep. of Germany;DA-DR;EU;28;14;230
Fernando de Noronha ;PP0-PY0F;SA;13;11;56
Fiji;3D2;OC;56;32;176
Finland;OF-OI;EU;18;15;224
France;F;EU;27;14;227
Franz Josef Land;R1/F;EU;75;40;61
French Guiana;FY;SA;12;9;63
French Polynesia ;FO,TX;OC;63;32;175
Gabon;TR;AF;52;36;420
Galapagos Is.;HC8-HD8;SA;12;10;71
Georgia;4L;AS;29;21;75
Ghana;9G;AF;46;35;424
Gibraltar;ZB2;EU;37;14;233
Glorioso Is.;FT/G,TO;AF;53;39;99
Greece;SV-SZ,J4;EU;28;20;236
Greenland;OX;NA;5,75;40;237
Grenada ;J3;NA;11;8;77
Guadeloupe;FG,TO;NA;11;8;79
Guam;KH2;OC;64;27;103
Guantanamo Bay;KG4;NA;11;8;105
Guatemala;TG,TD;NA;12;7;76
Guernsey;GU,GP;EU;27;14;106
Guinea;3X;AF;46;35;107
Guinea-Bissau ;J5;AF;46;35;109
Guyana;8R;SA;12;9;129
Haiti;HH;NA;11;8;78
Hawaii ;KH6,KH7;OC;61;31;110
Heard I.;VK0;AF;68;39;111
Honduras;HQ,HR;NA;11;7;80
Hong Kong;VR ;AS;44;24;321
Hungary;HA,HG;EU;28;15;239
Iceland;TF;EU;17;40;242
India;VU;AS;41;22;324
Indonesia;YB-YH;OC;51,54 ;28;327
Iran;EP-EQ;AS;40;21;330
Iraq;YI;AS;39;21;333
Ireland;EI-EJ;EU;27;14;245
Isle of Man;GD,GT;EU;27;14;114
Israel;4X,4Z;AS;39;20;336
Italy;I ;EU;28;15.33;248
ITU HQ;4U_ITU;EU;28;14;117
Jamaica;6Y;NA;11;8;82
Jan Mayen ;JX;EU;18;40;118
Japan ;JA-JS,7J-7N;AS;45;25;339
Jersey;GJ,GH;EU;27;14;122
Johnston I.;KH3;OC;61;31;123
Jordan ;JY;AS;39;20;342
Juan de Nova, Europa;FT/J,E,TO;AF;53;39;124
Juan Fernandez Is. ;CE0;SA;14;12;125
Kaliningrad;UA2,RA2;EU;29;15;126
Kazakhstan;UN-UQ;AS;29-31 ;17;130
Kenya;5Y-5Z;AF;48;37;430
Kerguelen Is. ;FT/X;AF;68;39;131
Kermadec Is.;ZL8;OC;60;32;133
Kingdom of Eswatini;3DA;AF;57;38;468
Kure I. ;KH7K;OC;61;31;138
Kuwait;9K;AS;39;21;348
Kyrgyzstan;EX;AS;30.31;17;135
Lakshadweep Is. ;VU7;AS;41;22;142
Laos ;XW;AS;49;26;143
Latvia;YL ;eu;29;15;145
Lebanon;OD;AS;39;20;354
