Prefix,Country
2A,United Kingdom of Great Britain and Northern Ireland
2B,United Kingdom of Great Britain and Northern Ireland
2C,United Kingdom of Great Britain and Northern Ireland
2D,United Kingdom of Great Britain and Northern Ireland
2E,United Kingdom of Great Britain and Northern Ireland
2F,United Kingdom of Great Britain and Northern Ireland
2G,United Kingdom of Great Britain and Northern Ireland
2H,United Kingdom of Great Britain and Northern Ireland
2I,United Kingdom of Great Britain and Northern Ireland
2J,United Kingdom of Great Britain and Northern Ireland
2K,United Kingdom of Great Britain and Northern Ireland
2L,United Kingdom of Great Britain and Northern Ireland
2M,United Kingdom of Great Britain and Northern Ireland
2N,United Kingdom of Great Britain and Northern Ireland
2O,United Kingdom of Great Britain and Northern Ireland
2P,United Kingdom of Great Britain and Northern Ireland
2Q,United Kingdom of Great Britain and Northern Ireland
2R,United Kingdom of Great Britain and Northern Ireland
2S,United Kingdom of Great Britain and Northern Ireland
2T,United Kingdom of Great Britain and Northern Ireland
2U,United Kingdom of Great Britain and Northern Ireland
2V,United Kingdom of Great Britain and Northern Ireland
2W,United Kingdom of Great Britain and Northern Ireland
2X,United Kingdom of Great Britain and Northern Ireland
2Y,United Kingdom of Great Britain and Northern Ireland
2Z,United Kingdom of Great Britain and Northern Ireland
3A,Monaco (Principality of)
3B,Mauritius (Republic of)
3C,Equatorial Guinea (Republic of)
3D,Eswatini (Kingdom of)
3D,Fiji (Republic of)
3E,Panama (Republic of)
3F,Panama (Republic of)
3G,Chile
3H,China (People's Republic of)
3I,China (People's Republic of)
3J,China (People's Republic of)
3K,China (People's Republic of)
3L,China (People's Republic of)
3M,China (People's Republic of)
3N,China (People's Republic of)
3O,China (People's Republic of)
3P,China (People's Republic of)
3Q,China (People's Republic of)
3R,China (People's Republic of)
3S,China (People's Republic of)
3T,China (People's Republic of)
3U,China (People's Republic of)
3V,Tunisia
3W,Viet Nam (Socialist Republic of)
3X,Guinea (Republic of)
3Y,Norway
3Z,Poland (Republic of)
4A,Mexico
4B,Mexico
4C,Mexico
4D,Philippines (Republic of the)
4E,Philippines (Republic of the)
4F,Philippines (Republic of the)
4G,Philippines (Republic of the)
4H,Philippines (Republic of the)
4I,Philippines (Republic of the)
4J,Azerbaijan (Republic of)
4K,Azerbaijan (Republic of)
4L,Georgia
4M,Venezuela (Bolivarian Republic of)
4O,Montenegro
4P,Sri Lanka (Democratic Socialist Republic of)
4Q,Sri Lanka (Democratic Socialist Republic of)
4R,Sri Lanka (Democratic Socialist Republic of)
4S,Sri Lanka (Democratic Socialist Republic of)
4T,Peru
4U,United Nations
4V,Haiti (Republic of)
4W,Timor-Leste (Democratic Republic of)
4X,Israel (State of)
4Y,International Civil Aviation Organization
4Z,Israel (State of)
5A,Libya (State of)
5B,Cyprus (Republic of)
5C,Morocco (Kingdom of)
5D,Morocco (Kingdom of)
5E,Morocco (Kingdom of)
5F,Morocco (Kingdom of)
5G,Morocco (Kingdom of)
5H,Tanzania (United Republic of)
5I,Tanzania (United Republic of)
5J,Colombia (Republic of)
5K,Colombia (Republic of)
5L,Liberia (Republic of)
5M,Liberia (Republic of)
5N,Nigeria (Federal Republic of)
5O,Nigeria (Federal Republic of)
5P,Denmark
5Q,Denmark
5R,Madagascar (Republic of)
5S,Madagascar (Republic of)
5T,Mauritania (Islamic Republic of)
5U,Niger (Republic of the)
5V,Togolese Republic
5W,Samoa (Independent State of)
5X,Uganda (Republic of)
5Y,Kenya (Republic of)
5Z,Kenya (Republic of)
6A,Egypt (Arab Republic of)
6B,Egypt (Arab Republic of)
6C,Syrian Arab Republic
6D,Mexico
6E,Mexico
6F,Mexico
6G,Mexico
6H,Mexico
6I,Mexico
6J,Mexico
6K,Korea (Republic of)
6L,Korea (Republic of)
6M,Korea (Republic of)
6N,Korea (Republic of)
6O,Somalia (Federal Republic of)
6P,Pakistan (Islamic Republic of)
6Q,Pakistan (Islamic Republic of)
6R,Pakistan (Islamic Republic of)
6S,Pakistan (Islamic Republic of)
6T,Sudan (Republic of the)
6U,Sudan (Republic of the)
6V,Senegal (Republic of)
6W,Senegal (Republic of)
6X,Madagascar (Republic of)
6Y,Jamaica
6Z,Liberia (Republic of)
7A,Indonesia (Republic of)
7B,Indonesia (Republic of)
7C,Indonesia (Republic of)
7D,Indonesia (Republic of)
7E,Indonesia (Republic of)
7F,Indonesia (Republic of)
7G,Indonesia (Republic of)
7H,Indonesia (Republic of)
7I,Indonesia (Republic of)
7J,Japan
7K,Japan
7L,Japan
7M,Japan
7N,Japan
7O,Yemen (Republic of)
7P,Lesotho (Kingdom of)
7Q,Malawi
7R,Algeria (People's Democratic Republic of)
7S,Sweden
7T,Algeria (People's Democratic Republic of)
7U,Algeria (People's Democratic Republic of)
7V,Algeria (People's Democratic Republic of)
7W,Algeria (People's Democratic Republic of)
7X,Algeria (People's Democratic Republic of)
7Y,Algeria (People's Democratic Republic of)
7Z,Saudi Arabia (Kingdom of)
8A,Indonesia (Republic of)
8B,Indonesia (Republic of)
8C,Indonesia (Republic of)
8D,Indonesia (Republic of)
8E,Indonesia (Republic of)
8F,Indonesia (Republic of)
8G,Indonesia (Republic of)
8H,Indonesia (Republic of)
8I,Indonesia (Republic of)
8J,Japan
8K,Japan
8L,Japan
8M,Japan
8N,Japan
8O,Botswana (Republic of)
8P,Barbados
8Q,Maldives (Republic of)
8R,Guyana
8S,Sweden
8T,India (Republic of)
8U,India (Republic of)
8V,India (Republic of)
8W,India (Republic of)
8X,India (Republic of)
8Y,India (Republic of)
8Z,Saudi Arabia (Kingdom of)
9A,Croatia (Republic of)
9B,Iran (Islamic Republic of)
9C,Iran (Islamic Republic of)
9D,Iran (Islamic Republic of)
9E,Ethiopia (Federal Democratic Republic of)
9F,Ethiopia (Federal Democratic Republic of)
9G,Ghana
9H,Malta
9I,Zambia (Republic of)
9J,Zambia (Republic of)
9K,Kuwait (State of)
9L,Sierra Leone
9M,Malaysia
9N,Nepal (Federal Democratic Republic of)
9O,Democratic Republic of the Congo
9P,Democratic Republic of the Congo
9Q,Democratic Republic of the Congo
9R,Democratic Republic of the Congo
9S,Democratic Republic of the Congo
9T,Democratic Republic of the Congo
9U,Burundi (Republic of)
9V,Singapore (Republic of)
9W,Malaysia
9X,Rwanda (Republic of)
9Y,Trinidad and Tobago
9Z,Trinidad and Tobago
A2,Botswana (Republic of)
A3,Tonga (Kingdom of)
A4,Oman (Sultanate of)
A5,Bhutan (Kingdom of)
A6,United Arab Emirates
A7,Qatar (State of)
A8,Liberia (Republic of)
A9,Bahrain (Kingdom of)
AA,United States of America
AB,United States of America
AC,United States of America
AD,United States of America
AE,United States of America
AF,United States of America
AG,United States of America
AH,United States of America
AI,United States of America
AJ,United States of America
AK,United States of America
AL,United States of America
AM,Spain
AN,Spain
AO,Spain
AP,Pakistan (Islamic Republic of)
AQ,Pakistan (Islamic Republic of)
AR,Pakistan (Islamic Republic of)
AS,Pakistan (Islamic Republic of)
AT,India (Republic of)
AU,India (Republic of)
AV,India (Republic of)
AW,India (Republic of)
AX,Australia
AY,Argentine Republic
AZ,Argentine Republic
BA,China (People's Republic of)
BB,China (People's Republic of)
BC,China (People's Republic of)
BD,China (People's Republic of)
BE,China (People's Republic of)
BF,China (People's Republic of)
BG,China (People's Republic of)
BH,China (People's Republic of)
BI,China (People's Republic of)
BJ,China (People's Republic of)
BK,China (People's Republic of)
BL,China (People's Republic of)
BM,China (People's Republic of)
BN,China (People's Republic of)
BO,China (People's Republic of)
BP,China (People's Republic of)
BQ,China (People's Republic of)
BR,China (People's Republic of)
BS,China (People's Republic of)
BT,China (People's Republic of)
BU,China (People's Republic of)
BV,China (People's Republic of)
BW,China (People's Republic of)
BX,China (People's Republic of)
BY,China (People's Republic of)
BZ,China (People's Republic of)
C2,Nauru (Republic of)
C3,Andorra (Principality of)
C4,Cyprus (Republic of)
C5,Gambia (Republic of the)
C6,Bahamas (Commonwealth of the)
C7,World Meteorological Organization
C8,Mozambique (Republic of)
C9,Mozambique (Republic of)
CA,Chile
CB,Chile
CC,Chile
